"Volume","UV"
0,0.002186
0.1,0.003286
0.2,0.003568
0.3,0.00875
0.4,0.013004
0.5,0.008063
0.6,0.005278
0.7,0.00333
0.8,0.002848
0.9,0.001755
1,0.000871
1.1,0.000534
1.2,0.001627
1.3,0.000558
1.4,0.000172
1.5,-0.000131
1.6,0.001024
1.7,0.000133
1.8,0.000274
1.9,-0.000522
2,0.000373
2.1,-0.000498
2.2,-0.00117
2.3,-0.00104
2.4,-0.00148
2.5,0.000104
2.6,-8.5e-05
2.7,-0.000627
2.8,-0.000834
2.9,-0.001054
3,-0.000646
3.1,-0.000807
3.2,-0.000485
3.3,-0.000589
3.4,-0.00103
3.5,-0.001601
3.6,-0.000313
3.7,-0.001999
3.8,-0.001589
3.9,-0.001502
4,-0.002101
4.1,-0.001381
4.2,-0.002058
4.3,-0.002337
4.4,-0.001662
4.5,-0.001076
4.6,-0.001883
4.7,-0.001519
4.8,-0.001619
4.9,-0.000916
5,-0.001384
5.1,-0.002211
5.2,-0.001256
5.3,-0.001594
5.3,-0.001713
5.4,-0.001183
5.6,-0.001636
5.7,-0.002196
5.8,-0.002811
5.8,-0.002433
5.9,-0.001978
6.1,-0.000964
6.2,-0.000345
6.3,-0.00086
6.3,-0.00117
6.4,-0.000757
6.6,-0.001582
6.7,-0.001404
6.8,-0.002008
6.8,-0.000669
6.9,-0.001039
7.1,-0.001685
7.2,-0.001201
7.3,-0.001143
7.3,-0.000863
7.4,-0.000584
7.6,-0.001393
7.7,-0.001864
7.8,-0.002013
7.8,-0.001362
7.9,-0.001333
8.1,-0.001393
8.1,-0.002159
8.3,-0.001362
8.4,-0.001717
8.5,-0.00135
8.6,-0.002379
8.6,-0.001732
8.8,-0.001216
8.9,-0.001703
9,-0.001056
9.1,-0.001775
9.1,-0.00179
9.3,-0.001203
9.4,-0.001981
9.5,-0.000673
9.6,-0.001439
9.6,-0.001113
9.8,-0.000717
9.9,-0.000556
10,-0.001129
10.1,-0.00057
10.1,0.000108
10.3,0.000935
10.4,0.000876
10.5,0.001586
10.6,0.001246
10.6,0.001586
10.8,0.00166
10.9,0.001957
11,0.001794
11.1,0.002981
11.1,0.00374
11.3,0.005405
11.4,0.005815
11.5,0.008645
11.6,0.012926
11.6,0.021706
11.8,0.03457
11.9,0.054048
12,0.077572
12.1,0.101516
12.1,0.124569
12.3,0.13896
12.4,0.140709
12.5,0.129565
12.6,0.108525
12.6,0.081606
12.8,0.055488
12.9,0.035369
13,0.020725
13.1,0.011538
13.1,0.00673
13.3,0.004721
13.4,0.002581
13.5,0.001483
13.6,0.000654
13.6,-0.000632
13.8,-0.000558
13.9,3.3e-05
14,-0.001193
14.1,-0.001002
14.1,-0.001709
14.3,-0.000468
14.4,-0.001827
14.5,-0.00168
14.6,-0.000616
14.6,-0.000438
14.8,-0.000676
14.9,-0.001132
15,-0.001399
15.1,-0.001074
15.1,-0.001766
15.3,-0.001325
15.4,-0.001414
15.5,-0.002119
15.6,-0.001765
15.6,-0.002795
15.8,-0.001897
15.9,-0.002356
16,-0.002264
16.1,-0.00106
16.2,-0.001369
16.3,-0.001414
16.4,-0.000365
16.5,-0.001741
16.6,-0.00143
16.7,-0.002034
16.8,-0.001693
16.9,-0.000839
17,-0.001679
17.1,-0.00066
17.2,-0.000999
17.3,-0.00075
17.4,-0.000338
17.5,-0.000544
17.6,-0.000382
17.7,-0.001532
17.8,-0.001445
17.9,-0.001933
18,-0.000604
18.1,-0.001296
18.2,-9e-04
18.3,-0.000587
18.4,-0.000987
18.5,-0.002239
18.6,-0.002004
18.7,-0.00233
18.8,-0.002637
18.9,-0.002546
19,-0.001371
19.1,-0.002168
19.2,-0.000708
19.3,-0.00127
19.4,0.006369
19.5,0.014119
19.6,0.017009
19.7,0.02691
19.8,0.037906
19.9,0.048632
20,0.052247
20.1,0.063067
20.2,0.071064
20.3,0.07808
20.4,0.14005
20.5,0.186917
20.6,0.141308
20.7,0.210418
20.8,0.272627
20.9,0.14575
21,0.160334
21.1,0.19601
21.2,0.153026
21.3,0.189612
21.4,0.225643
21.5,0.254655
21.6,0.28778
21.7,0.312595
21.8,0.070434
21.9,0.073816
22,0.076984
22.1,0.081114
22.2,0.083814
22.3,0.087115
22.4,0.089722
22.5,0.142444
22.6,0.145351
22.7,0.148798
22.8,0.153752
22.9,0.157289
23,0.160966
23.1,0.165289
23.2,0.170249
23.3,0.175617
23.4,0.092896
23.5,0.095771
23.5,0.097162
23.6,0.0974
23.7,0.096476
23.8,0.092717
23.9,0.090724
24,0.090401
24.1,0.089302
24.2,0.090605
24.3,0.091928
24.4,0.093875
24.5,0.095143
24.6,0.089759
24.7,0.09094
24.8,0.098238
24.9,0.107717
25,0.108908
25.1,0.109613
25.2,0.11017
25.3,0.112792
25.4,0.1134
25.5,0.113917
25.6,0.115101
25.7,0.116606
25.8,0.118617
25.9,0.124984
26,0.141004
26.1,0.141949
26.2,0.143913
26.3,0.144489
26.4,0.145795
26.5,0.146576
26.6,0.14717
26.7,0.147423
26.8,0.148499
26.9,0.150309
27,0.152472
27.1,0.15274
27.2,0.15308
27.3,0.154086
27.4,0.15447
27.5,0.15604
27.6,0.157238
27.7,0.158728
27.8,0.159319
27.9,0.160634
28,0.161201
28.1,0.161112
28.2,0.161692
28.3,0.164631
28.4,0.164998
28.5,0.165156
28.6,0.16672
28.7,0.16818
28.8,0.167859
28.9,0.168441
29,0.161253
29.1,0.160598
29.2,0.170608
29.3,0.17077
29.4,0.17123
29.5,0.171646
29.6,0.171079
29.7,0.171956
29.8,0.164433
29.9,0.164403
30,0.166188
